ID,Gender,Car_Owner,Property_Owner,Children,Annual_Income,Income_Type,Education,Marital_Status,Housing_Type,Mobile_ph,Work_ph,ph,Email_Id,Occupation_Type,Family_Members,Age,Work_Experience,Outcome
379,F,N,Y,0,283500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,49,1.794520548,0
380,F,Y,Y,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Managers,1,60,0,0
381,M,N,Y,0,196653.0078,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Cleaning staff,1,51,10.00821918,0
382,F,Y,Y,0,252000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,48,3.454794521,0
383,F,N,Y,1,135000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,40,19.97191781,0
384,F,Y,Y,0,315000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Managers,1,58,0,0
385,M,Y,N,1,380250,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,53,15.19178082,0
386,F,Y,Y,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,39,10.43835616,0
387,F,N,Y,0,270000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Medicine staff,1,57,0,0
388,M,Y,Y,1,380250,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,3,44.40033339,3.260273973,0
389,M,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,54,8.893150685,0
390,M,Y,N,0,306000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,44,4.517808219,0
391,F,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Private service staff,1,48,19.97191781,0
392,F,N,N,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Accountants,4,38,3.706849315,0
393,F,N,Y,0,380250,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,Accountants,2,34,10.17808219,0
394,F,N,Y,1,36000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,3,34,3.049315068,0
395,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,31,1.391780822,0
396,M,Y,N,0,292500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,57,7.457534247,0
397,F,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,32,2.717808219,0
398,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,30,6.271232877,0
399,F,N,Y,0,292500,Working,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,54,19.97191781,0
400,M,Y,N,1,315000,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,3,36,9.980821918,0
401,F,N,N,0,135000,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,34,2.380821918,0
402,F,N,N,2,337500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,4,30,5.956164384,0
403,F,N,N,1,157500,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Core staff,2,35,14.61917808,0
404,F,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,52,9.684931507,0
405,F,Y,Y,1,135000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,41,12.0739726,0
406,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,30,1.128767123,0
407,M,N,Y,0,157500,Working,Incomplete higher,Married,House / apartment,1,1,1,0,Medicine staff,2,37,1.24109589,0
408,M,Y,N,0,157500,Working,Incomplete higher,Married,With parents,1,1,0,0,Drivers,2,25,2.630136986,0
409,F,Y,Y,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,2,58,0,0
410,F,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Managers,1,32,12.90684932,0
411,F,Y,Y,1,133650,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,40,5.383561644,0
412,M,Y,Y,1,380250,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,3,33,6.967123288,0
413,F,Y,Y,1,81000,Working,Higher education,Married,House / apartment,1,1,1,0,Core staff,3,29,3.816438356,0
414,F,Y,Y,1,225000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Accountants,3,31,1.260273973,0
415,F,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,High skill tech staff,2,62,6.120547945,0
416,M,Y,N,2,135000,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,4,35,4.468493151,0
417,F,N,N,0,94500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Waiters/barmen staff,2,46,4.435616438,0
418,F,Y,Y,1,180000,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,2,52,16.38630137,0
419,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Cooking staff,2,52,8.638356164,0
420,M,Y,Y,0,252000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,38,7.347945205,0
421,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,33,9.432876712,0
422,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,57,6.383561644,0
423,M,N,Y,0,247500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Core staff,2,25,1.131506849,0
424,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,64,0,0
425,M,Y,Y,1,180000,Commercial associate,Incomplete higher,Civil marriage,House / apartment,1,0,0,0,Laborers,3,43,18.20547945,0
426,F,N,Y,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,4,29,1.383561644,0
427,F,N,N,0,157500,Working,Higher education,Civil marriage,With parents,1,0,0,0,Accountants,2,36,0.550684932,0
428,F,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,55,0,0
429,M,Y,Y,0,233865.0924,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Accountants,2,33,8.967123288,0
430,M,Y,Y,0,202500,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2,60,0,0
431,F,N,N,1,90000,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,3,28,4.005479452,0
432,M,Y,Y,0,247500,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,35,7.147945205,0
433,M,Y,N,0,99000,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,2,53,1.42739726,0
434,M,Y,N,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,48,3.619178082,0
435,M,Y,N,1,202500,State servant,Higher education,Married,House / apartment,1,0,0,0,Managers,3,37,6.75890411,0
436,F,N,Y,2,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,4,32,1.961643836,0
437,F,Y,Y,2,121500,Working,Incomplete higher,Married,House / apartment,1,1,1,0,Core staff,4,31,0.276712329,0
438,F,Y,Y,0,157500,Working,Incomplete higher,Married,House / apartment,1,1,1,0,High skill tech staff,2,26,4.471232877,0
439,F,N,N,2,121500,Working,Higher education,Married,House / apartment,1,0,0,0,HR staff,4,32,1.682191781,0
440,F,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Laborers,1,48,5.216438356,0
441,F,N,N,0,180000,State servant,Secondary / secondary special,Widow,House / apartment,1,1,1,0,Laborers,1,50,0.961643836,0
442,F,N,N,0,144000,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Core staff,1,46,19.97191781,0
443,M,Y,Y,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,2,53,0,0
444,M,Y,N,1,225000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,High skill tech staff,3,42,19.89041096,0
445,M,Y,Y,2,157500,Commercial associate,Higher education,Married,With parents,1,0,0,0,Drivers,4,39,1.715068493,0
446,M,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,56,18.77534247,0
447,M,Y,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,4,37,1.254794521,0
448,F,Y,Y,1,261000,State servant,Higher education,Married,House / apartment,1,0,0,0,Managers,3,41,4.460273973,0
449,F,Y,Y,2,135000,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Core staff,4,40,16.69589041,0
450,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,36,2.010958904,0
451,F,N,Y,0,157500,Pensioner,Lower secondary,Married,House / apartment,1,0,0,0,High skill tech staff,2,64,0,0
452,M,N,Y,1,103500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,3,32,1.8,0
453,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2,47,7.397260274,0
454,M,N,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,28,2.410958904,0
455,F,N,N,0,112500,Working,Higher education,Single / not married,With parents,1,1,1,0,High skill tech staff,1,30,0.430136986,0
456,M,N,Y,1,231750,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,3,39,0.369863014,0
457,F,Y,Y,0,202500,Working,Higher education,Widow,House / apartment,1,0,0,0,Managers,1,33,4.101369863,0
458,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,42,3.468493151,0
459,F,N,Y,0,135000,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,29,5.301369863,0
460,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2,31,1.410958904,0
461,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Drivers,1,60,0,0
462,M,Y,Y,0,117000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,53,2.802739726,0
463,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Low-skill Laborers,2,51,5.832876712,0
464,F,N,Y,0,135000,Working,Incomplete higher,Single / not married,House / apartment,1,0,0,0,Secretaries,1,30,1.575342466,0
465,F,N,Y,0,103500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Drivers,1,65,0,0
466,F,N,N,0,315000,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,1,1,1,Private service staff,1,48,8.936986301,0
467,F,N,N,0,180000,Commercial associate,Incomplete higher,Married,With parents,1,1,0,1,Sales staff,2,23,1.178082192,0
468,F,N,Y,2,247500,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,1,Core staff,4,33,6.046575342,0
469,M,Y,Y,0,135000,Working,Lower secondary,Married,With parents,1,0,0,1,Laborers,2,27,5.112328767,0
470,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,40,12.51506849,0
471,F,N,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,1,Sales staff,2,44,0.846575342,0
472,F,N,Y,0,247500,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,61,1.583561644,0
473,M,Y,Y,0,157500,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,45.00012585,18.9260274,0
474,M,Y,N,1,158668.6731,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,3,36,5.290410959,0
475,F,N,Y,0,247500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,64,0,0
476,F,N,Y,1,166500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,3,55,19.97191781,0
477,F,N,N,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,3,26,6.183561644,0
478,M,N,Y,0,90900,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,2,61,0,0
479,F,Y,N,2,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,4,32,10.34520548,0
480,F,Y,Y,0,45900,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Medicine staff,1,56,0,0
481,M,N,Y,1,126000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Core staff,3,34,0.383561644,0
482,F,N,Y,0,103500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Laborers,2,32,12.55616438,0
483,F,N,Y,1,119250,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,3,44,12.06575342,0
484,M,Y,N,2,202500,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,4,32,1.991780822,0
485,F,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3,40,10.42465753,0
486,F,Y,Y,0,112500,Working,Higher education,Married,House / apartment,1,0,0,1,Accountants,2,31,6.345205479,0
487,F,N,Y,1,315000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,32,3.98630137,0
488,M,N,N,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,37,14.85479452,0
489,M,N,Y,0,162000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Security staff,1,31,1.591780822,0
490,M,Y,N,0,270000,Working,Incomplete higher,Married,House / apartment,1,1,1,1,Laborers,2,33,2.446575342,0
491,F,N,Y,2,112500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Core staff,4,30,5.095890411,0
492,F,N,Y,0,58500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,High skill tech staff,1,68,0,0
493,F,N,Y,0,94500,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Medicine staff,1,40,17.30684932,0
494,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,44,2.739726027,0
495,F,Y,Y,1,270000,Working,Higher education,Separated,House / apartment,1,0,1,1,Sales staff,2,38,0.383561644,0
496,F,Y,Y,0,99000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,2,59,0,0
497,F,N,Y,1,315000,Working,Higher education,Separated,House / apartment,1,1,1,0,Private service staff,2,43,13.05753425,0
498,F,Y,Y,1,157500,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Core staff,3,40,6.189041096,0
499,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Sales staff,2,27,3.682191781,0
500,F,N,N,0,211500,Commercial associate,Higher education,Married,With parents,1,1,1,0,Laborers,2,40,12.84931507,0
501,M,N,N,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Laborers,1,42,19.97191781,0
502,F,Y,N,0,180000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Laborers,1,56,0,0
503,F,N,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,40.53960833,5.621917808,0
504,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,4,47,13.70958904,0
505,F,N,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,1,35,2.528767123,0
506,M,N,N,0,148500,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,1,Laborers,1,39,3.268493151,0
507,F,Y,Y,2,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Medicine staff,4,37,17.36164384,0
508,F,N,Y,0,90000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Sales staff,2,25,2.17260274,0
509,F,N,Y,0,148500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,59,0,0
510,F,N,N,0,99000,Working,Secondary / secondary special,Married,With parents,1,1,0,0,Medicine staff,2,54,14.93972603,0
511,F,N,Y,0,315000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Core staff,1,63,0,0
512,F,N,Y,1,162000,State servant,Higher education,Civil marriage,House / apartment,1,0,0,0,Accountants,3,41,0.24109589,0
513,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Managers,1,48,15.05479452,0
514,F,Y,Y,0,225000,Working,Higher education,Single / not married,House / apartment,1,0,1,1,Sales staff,1,27,1.624657534,0
515,F,N,Y,0,380250,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,Accountants,2,34,10.17808219,0
516,F,N,Y,0,292500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,58,13.19452055,0
517,F,N,Y,0,67500,Pensioner,Higher education,Single / not married,Municipal apartment,1,0,0,1,Managers,1,65,0,0
518,F,N,N,0,157500,Working,Higher education,Separated,House / apartment,1,0,0,0,Medicine staff,1,47,8.219178082,0
519,F,N,Y,0,135000,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2,56,19.97191781,0
520,F,N,Y,0,67500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,39,4.345205479,0
521,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,64,0,0
522,F,Y,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,2,63,0,0
523,F,N,Y,0,112500,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Cleaning staff,1,54,5.764383562,0
524,F,N,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,27,2.82739726,0
525,F,N,Y,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Managers,2,45,19.97191781,0
526,M,Y,N,0,360000,State servant,Higher education,Married,House / apartment,1,0,0,0,Managers,2,27,5.268493151,0
527,F,N,Y,1,112500,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,2,42,3.098630137,0
528,M,N,Y,0,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Managers,2,29,3.219178082,0
529,F,Y,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Accountants,2,55,0,0
530,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,2,42,19.97191781,0
531,M,Y,Y,0,202500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,40,6.024657534,0
532,M,N,N,1,225000,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,Drivers,3,49,5.238356164,0
533,M,Y,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,33,2.536986301,0
534,M,Y,Y,1,202500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,High skill tech staff,3,34,6.846575342,0
535,M,Y,N,0,328500,Working,Higher education,Married,House / apartment,1,1,1,0,Drivers,2,41,7.271232877,0
536,M,N,Y,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,4,30,3.216438356,0
537,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,55,0.630136986,0
538,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Sales staff,2,28,2.635616438,0
539,M,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,32.89939721,6.235616438,0
540,F,N,Y,2,270000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Secretaries,4,42,6.019178082,0
541,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,31,6.761643836,0
542,F,N,Y,0,193500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,58,19.97191781,0
543,F,Y,Y,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,2,59,0,0
544,M,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,2,55,2.553424658,0
545,M,Y,N,0,198000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,37,8.098630137,0
546,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,60,0,0
547,M,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,30,3.684931507,0
548,M,Y,Y,0,72000,Working,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,60,1.695890411,0
549,M,Y,N,2,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,44,10.37534247,0
550,F,Y,Y,1,247500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Laborers,3,47,3.432876712,0
551,M,Y,N,0,157500,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,2,41,8.882191781,0
552,F,N,N,0,225000,State servant,Secondary / secondary special,Married,With parents,1,0,1,0,Medicine staff,2,34,0.536986301,0
553,M,N,N,0,112500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,1,0,Laborers,1,43,0.816438356,0
554,M,Y,Y,1,380250,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3,48,4.789041096,0
555,M,Y,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3,27,0.339726027,0
556,F,N,N,1,108000,Working,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Managers,2,39,11.18356164,0
557,F,N,Y,0,380250,State servant,Higher education,Married,House / apartment,1,0,0,1,Managers,2,47,3.920547945,0
558,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,0,1,0,Core staff,2,39,14.60273973,0
559,M,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,57,3.468493151,0
560,F,N,Y,1,90000,Working,Secondary / secondary special,Separated,With parents,1,0,1,1,Sales staff,2,36,2.78630137,0
561,F,N,Y,0,217811.6536,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,55,3.090410959,0
562,M,N,N,2,225000,Working,Higher education,Civil marriage,House / apartment,1,1,0,0,Laborers,4,46,8.460273973,0
563,F,N,Y,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,1,40,1.898630137,0
564,F,N,N,0,72000,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Cleaning staff,1,52,4.016438356,0
566,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2,26,8.22739726,0
567,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,34,11.06575342,0
568,M,Y,Y,0,380250,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,1,Sales staff,1,30,1.610958904,0
569,F,Y,N,0,216000,Working,Higher education,Married,Municipal apartment,1,0,1,0,Sales staff,2,33,0.77260274,0
570,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,42,12.30410959,0
571,M,Y,Y,0,315000,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,49,3.164383562,0
572,F,Y,Y,2,315000,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,4,34,3.342465753,0
573,F,N,N,0,380250,Pensioner,Higher education,Single / not married,Municipal apartment,1,0,0,0,Medicine staff,1,48,0,0
574,F,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,50,1.8,0
575,F,N,Y,0,180000,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,48,3.295890411,0
576,M,Y,N,0,157500,Working,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Security staff,1,47,1.950684932,0
577,F,Y,Y,1,234000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,2,57,7.791780822,0
578,F,Y,Y,0,99000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,2,59,0,0
579,M,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Drivers,2,49,11.04383562,0
580,M,Y,Y,1,292500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,3,34,9.101369863,0
581,F,N,N,0,198000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Drivers,1,60,0,0
582,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,53,7.884931507,0
583,F,N,Y,0,247500,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Managers,2,61,0,0
584,M,Y,N,2,112500,Working,Higher education,Married,House / apartment,1,1,1,0,High skill tech staff,4,40.1916034,18.3369863,0
585,F,N,N,1,157500,Commercial associate,Incomplete higher,Married,With parents,1,0,0,0,Managers,3,33,7.561643836,0
586,F,N,N,1,112500,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,3,44,6.936986301,0
587,M,Y,Y,0,380250,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,Drivers,2,46,4.509589041,0
588,F,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,53,19.97191781,0
589,F,Y,N,1,225000,Working,Higher education,Single / not married,With parents,1,0,0,0,Laborers,2,38,14.81643836,0
590,F,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Managers,2,30,3.764383562,0
591,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Managers,2,56,8.471232877,0
592,M,N,Y,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Security staff,2,49,0.961643836,0
593,F,Y,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,57,0,0
594,M,Y,N,0,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,1,0,0,Sales staff,2,27,8.2,0
595,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,36,6.517808219,0
596,F,N,N,0,117000,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Sales staff,2,37,3.509589041,0
597,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,53,19.97191781,0
598,M,Y,N,2,270000,Working,Higher education,Married,House / apartment,1,0,1,0,Drivers,4,32,8.224657534,0
599,F,Y,N,0,135000,Commercial associate,Higher education,Married,House / apartment,1,1,1,1,High skill tech staff,2,32,2.260273973,0
600,M,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,32,5.830136986,0
601,F,Y,Y,0,243000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,40,5.635616438,0
602,M,N,N,0,121500,State servant,Incomplete higher,Single / not married,House / apartment,1,1,0,0,Laborers,1,25,4.41369863,0
603,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,32,1.78630137,0
604,M,Y,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,1,0,Sales staff,1,44,6.950684932,0
